"","State","HarrisAvg","TrumpAvg","WeightedSampleSize","TimeDiscountedPollCount","Margin","Undecided","HarrisError","TrumpError","HarrisRawWin"
"1","US",48.8666252327705,45.3294527746636,193352.188419914,49.006673881674,3.5371724581069,5.803921992566,0.160684791576183,0.160356921932828,"100.00%"
"2","Florida",45.4551390171983,49.5815757612399,8829.28571428571,6.90238095238095,-4.1264367440416,4.96328522156183,0.750514103755296,0.752169584845022,"0.30%"
"3","North Carolina",47.3564375024017,47.9739454775208,13228.2166666667,16.4464285714286,-0.617507975119125,4.66961702007751,0.61405746489946,0.614264701498639,"30.76%"
"4","Illinois",58.5101020514434,41.4898979485566,466.666666666667,1.16666666666667,17.0202041028867,0,3.25039603771097,3.25039603771097,"99.56%"
"5","Virginia",50.3394802012611,42.2334694573965,2896.83214285714,3.73452380952381,8.10601074386454,7.42705034134242,1.31275423326321,1.30456378527756,"99.90%"
"6","New Hampshire",51.1098939548664,43.3460419590902,3641.90909090909,1.84090909090909,7.76385199577619,5.54406408604335,1.17123584479807,1.1659454451627,"99.96%"
"7","Arizona",46.7078558085587,47.6210293076202,9046.87142857143,11.8996031746032,-0.913173499061422,5.67111488382108,0.742117187040448,0.742317229320021,"26.92%"
"8","Georgia",47.2103688904856,48.0326398030937,12477.3404761905,10.7702380952381,-0.822270912608069,4.75699130642065,0.632210678713721,0.632594906376648,"25.78%"
"9","Michigan",47.8535019090745,46.1366435606882,9284.61507936508,11.7198412698413,1.7168583483863,6.00985453023728,0.732969572815573,0.73224392448748,"87.94%"
"10","Minnesota",49.4918752755211,43.2499256248329,2384.14166666667,3.65833333333333,6.24194965068815,7.25819909964601,1.44770318121858,1.44073274351667,"98.47%"
"11","Nevada",47.4820478379294,46.691865055562,5938.68611111111,8.78015873015873,0.790182782367424,5.82608710650857,0.916193090087024,0.915849116158748,"66.69%"
"12","Pennsylvania",47.8741268802498,47.0569212096995,18756.3799422799,15.5452741702742,0.817205670550358,5.06895191005068,0.515794841515246,0.515579009959866,"78.59%"
"13","Wisconsin",48.5046004230149,46.2597309331829,8686.91507936508,11.6587301587301,2.24486948983203,5.23566864380223,0.758233603442876,0.756952104095792,"93.08%"
"14","New Jersey",56,44,400,1,12,0,3.52273666997561,3.52273666997561,"95.57%"
"15","Nebraska",39.4163089196114,54.1247702411404,901.5,1.66666666666667,-14.708461321529,6.45892083924816,2.32487875153798,2.35051179681288,"0.08%"
"16","North Dakota",36,54.5,500,1,-18.5,9.5,3.09252987074379,3.1493385100594,"0.15%"
"17","New York",55.0298865770868,40.1029391894206,1127.79285714286,1.49285714285714,14.9269473876662,4.86717423349263,2.09635723378478,2.08325941451617,"99.98%"
"18","Ohio",43.9676789968009,52.2878380865003,2736.32619047619,3.12619047619048,-8.32015908969932,3.7444829166988,1.34670848483901,1.35034023151079,"0.10%"
"19","Indiana",40.9807912703935,55.7706336672735,850,1.41666666666667,-14.7898423968801,3.24857506233298,2.405666757901,2.41678497317267,"0.11%"
"20","Alaska",42.6634322981842,50.3985160133856,971.166666666667,0.916666666666667,-7.73508371520138,6.93805168843026,2.25677126783075,2.26735301834469,"4.37%"
"21","South Carolina",42,51.6,534,0.5,-9.60000000000001,6.39999999999999,3.04017576360279,3.05916665854682,"5.78%"
"22","Iowa",43.9198737631978,49.472160738594,464,0.75,-5.55228697539626,6.60796549820818,3.26975296765599,3.28090439061326,"19.83%"
"23","Texas",44.806732398751,50.8545528924078,4331.32976190476,4.15952380952381,-6.0478204936568,4.33871470884128,1.07101380895753,1.07372297512343,"0.24%"
"24","Nebraska CD-2",50.4216525989387,42,935.625,1.41666666666667,8.42165259893874,7.57834740106127,2.31041789445203,2.29677478768206,"96.62%"
"25","California",59.3484129921459,34.6782645691359,2752.6880952381,1.98730158730159,24.67014842301,5.97332243871823,1.33274979513869,1.31408639229389,"100.00%"
