"","State","HarrisAvg","TrumpAvg","WeightedSampleSize","TimeDiscountedPollCount","Margin","Undecided","HarrisError","TrumpError","HarrisRawWin"
"1","US",48.5120242745084,46.1878876531279,114469.529291222,95.4062021312022,2.32413662138051,5.30008807236376,0.208867355455154,0.208543924971232,"100.00%"
"2","Arizona",46.88067591604,48.4868325660857,24508.796991897,33.7412198912199,-1.60615665004567,4.63249151787436,0.451004437908369,0.45124839176435,"3.75%"
"3","Georgia",47.3242727733091,48.5763196822244,24130.2721139971,29.6997113997114,-1.25204690891528,4.09940754446652,0.454691341519925,0.454967908123253,"8.44%"
"4","Michigan",48.1961611400081,46.8454044856441,28792.7031995782,39.6304306804307,1.35075665436403,4.95843437434777,0.416371535234776,0.416062343491235,"94.77%"
"5","Nevada",47.5054386026962,47.5296744283562,14489.7844683095,24.9075507825508,-0.024235825660007,4.96488696894763,0.586711964019444,0.586710917563386,"49.18%"
"6","North Carolina",47.4018271652007,48.3547489964369,24819.3168220668,30.7015484515485,-0.952921831236154,4.24342383836235,0.448359527788484,0.448530737387695,"14.40%"
"7","Pennsylvania",47.9873319494858,47.6616321755593,40122.7046231546,46.1987207237208,0.32569977392653,4.35103587495496,0.352733184918132,0.352654493523453,"67.79%"
"8","Wisconsin",48.4466934705962,47.2015090730635,25914.2247835498,37.352713952714,1.24518439753272,4.35179745634024,0.439027153341438,0.438606885897548,"92.20%"
"9","Minnesota",49.926242693564,44.3171061730436,6547.82777777778,7.48333333333333,5.60913652052042,5.75665113339238,0.873542528556326,0.870108009096043,"99.94%"
"10","Montana",38.0656900117519,56.0971965006378,2077.0695970696,2.70622710622711,-18.031506488886,5.83711348761027,1.52948708296177,1.54551842127955,"0.00%"
"11","Ohio",44.409895246364,52.2662264729835,12323.2926046176,10.3905122655123,-7.85633122661947,3.32387828065252,0.634875788449183,0.63645162807704,"0.00%"
"12","Texas",44.837913551706,51.4019977262401,13527.1348845599,8.80995670995671,-6.56408417453407,3.76008872205385,0.606053505583839,0.607583302829688,"0.00%"
"13","Virginia",50.1879306987598,43.589805932984,7801.5588023088,8.43773448773449,6.59812476577588,6.22226336825619,0.800022179601723,0.796182183786302,"100.00%"
"14","Iowa",45.2017275546891,50.3150959210474,3025,4.29166666666667,-5.11336836635827,4.48317652426345,1.28199788532759,1.28409066101591,"2.31%"
"15","California",59.2587455876295,34.4088893857008,8753.45773670774,5.85791153291153,24.8498562019287,6.33236502666977,0.747115326583193,0.736684248111026,"100.00%"
"16","Florida",45.1201738025511,50.7901968742533,15382.0788239538,14.1125874125874,-5.67002307170214,4.08962932319557,0.56850225210098,0.56983921298539,"0.00%"
"17","Missouri",41.1291456195552,54.5344909606635,1887.5,3.20833333333333,-13.4053453411083,4.33636341978136,1.61566701409792,1.62316060205046,"0.00%"
"18","New Jersey",54.5139211124729,40.1269700247974,1255.5,2.7,14.3869510876755,5.35910886272964,1.99012084030079,1.97514277130933,"99.99%"
"19","New York",56.1240178334243,39.4647565494589,2084.38149350649,3.28733766233766,16.6592612839655,4.41122561711683,1.5414111518047,1.5311867265949,"100.00%"
"20","Washington",56.5156564612942,37.8611103708088,1461.11111111111,3.19444444444444,18.6545460904854,5.62323316789706,1.84105517019348,1.8149614498865,"100.00%"
"21","New Mexico",49.2321092760678,42.3906664290017,2091.14235209235,3.30797258297258,6.84144284706607,8.37722429493045,1.5454781760611,1.53436374812559,"98.68%"
"22","New Hampshire",52.3325617075975,43.5626453416016,9623.13333333333,6.26666666666667,8.76991636599583,4.1047929508009,0.719628936009144,0.716365087520399,"100.00%"
"23","Maine",51.3068251111903,41.3846953500087,2865.55,2.40833333333333,9.92212976118167,7.30847953880102,1.32003337100643,1.30924774249615,"99.99%"
"24","Massachusetts",61.4000729878869,33.1110324437422,2819.11904761905,4.55119047619048,28.2890405441447,5.48889456837093,1.31245316466665,1.28941455012905,"100.00%"
"25","Rhode Island",53.9454113534039,37.886593284113,1088.35912698413,1.5218253968254,16.0588180692909,8.16799536248308,2.13898194635059,2.09767821480841,"99.99%"
"26","Vermont",63.8174859004997,30.1825140995003,1244,1.08333333333333,33.6349718009994,6.00000000000001,1.95715463992478,1.90874268477063,"100.00%"
"27","Maine CD-1",58.9258291436001,35.3140399810653,1435.01666666667,2.40833333333333,23.6117891625348,5.76013087533467,1.85117339026521,1.81732980713314,"100.00%"
"28","Maine CD-2",43.376868568011,48.4491146144195,1449.95,2.74166666666667,-5.07224604640847,8.17401681756945,1.84704361155609,1.85564998025167,"8.54%"
"29","Maryland",61.4546496418912,33.431964174184,3451.12085137085,5.93892496392496,28.0226854677072,5.11338618392477,1.18634498594817,1.16829875398002,"100.00%"
"30","Nebraska",39.0281025609766,55.4498546994149,2914.43095238095,3.57619047619048,-16.4217521384383,5.52204273960844,1.29301641324977,1.30547228636197,"0.00%"
